# ai-atlas vektor uji lintas bahasa — .Deckyx
# berkas: certainty.tsv
# keterbandingan: BitExact
# Certainty factor MYCIN: kombinasi paralel, berantai, premis AND dan OR
# seluruh pecahan ditulis sebagai 16 digit heksadesimal pola bit IEEE-754
# kolom: op	a_hex	b_hex	result_hex
or	3fd3333333333333	bfe8000000000000	3fd3333333333333
parallel	3fd3333333333333	bfe0000000000000	bfd2492492492493
sequential	3fd3333333333333	bfe0000000000000	0000000000000000
and	3fd3333333333333	bfe0000000000000	bfe0000000000000
or	3fd3333333333333	bfe0000000000000	3fd3333333333333
parallel	3fd3333333333333	bfd3333333333333	0000000000000000
sequential	3fd3333333333333	bfd3333333333333	0000000000000000
and	3fd3333333333333	bfd3333333333333	bfd3333333333333
or	3fd3333333333333	bfd3333333333333	3fd3333333333333
parallel	3fd3333333333333	bf847ae147ae147b	3fd2bf5a814afd6a
sequential	3fd3333333333333	bf847ae147ae147b	0000000000000000
and	3fd3333333333333	bf847ae147ae147b	bf847ae147ae147b
or	3fd3333333333333	bf847ae147ae147b	3fd3333333333333
parallel	3fd3333333333333	0000000000000000	3fd3333333333333
sequential	3fd3333333333333	0000000000000000	0000000000000000
and	3fd3333333333333	0000000000000000	0000000000000000
or	3fd3333333333333	0000000000000000	3fd3333333333333
parallel	3fd3333333333333	3f847ae147ae147b	3fd3a5e353f7ced9
sequential	3fd3333333333333	3f847ae147ae147b	3f689374bc6a7efa
and	3fd3333333333333	3f847ae147ae147b	3f847ae147ae147b
or	3fd3333333333333	3f847ae147ae147b	3fd3333333333333
parallel	3fd3333333333333	3fd3333333333333	3fe051eb851eb852
sequential	3fd3333333333333	3fd3333333333333	3fb70a3d70a3d70a
and	3fd3333333333333	3fd3333333333333	3fd3333333333333
or	3fd3333333333333	3fd3333333333333	3fd3333333333333
parallel	3fd3333333333333	3fe0000000000000	3fe4cccccccccccc
sequential	3fd3333333333333	3fe0000000000000	3fc3333333333333
and	3fd3333333333333	3fe0000000000000	3fd3333333333333
or	3fd3333333333333	3fe0000000000000	3fe0000000000000
parallel	3fd3333333333333	3fe947ae147ae148	3feb4bc6a7ef9db2
sequential	3fd3333333333333	3fe947ae147ae148	3fce5604189374bc
and	3fd3333333333333	3fe947ae147ae148	3fd3333333333333
or	3fd3333333333333	3fe947ae147ae148	3fe947ae147ae148
parallel	3fd3333333333333	3fed70a3d70a3d71	3fee353f7ced9168
sequential	3fd3333333333333	3fed70a3d70a3d71	3fd1a9fbe76c8b44
and	3fd3333333333333	3fed70a3d70a3d71	3fd3333333333333
or	3fd3333333333333	3fed70a3d70a3d71	3fed70a3d70a3d71
parallel	3fd3333333333333	3ff0000000000000	3ff0000000000000
sequential	3fd3333333333333	3ff0000000000000	3fd3333333333333
and	3fd3333333333333	3ff0000000000000	3fd3333333333333
or	3fd3333333333333	3ff0000000000000	3ff0000000000000
parallel	3fe0000000000000	bff0000000000000	bff0000000000000
sequential	3fe0000000000000	bff0000000000000	0000000000000000
and	3fe0000000000000	bff0000000000000	bff0000000000000
or	3fe0000000000000	bff0000000000000	3fe0000000000000
parallel	3fe0000000000000	bfed70a3d70a3d71	bfeae147ae147ae2
sequential	3fe0000000000000	bfed70a3d70a3d71	0000000000000000
and	3fe0000000000000	bfed70a3d70a3d71	bfed70a3d70a3d71
or	3fe0000000000000	bfed70a3d70a3d71	3fe0000000000000
parallel	3fe0000000000000	bfe8000000000000	bfe0000000000000
sequential	3fe0000000000000	bfe8000000000000	0000000000000000
and	3fe0000000000000	bfe8000000000000	bfe8000000000000
or	3fe0000000000000	bfe8000000000000	3fe0000000000000
parallel	3fe0000000000000	bfe0000000000000	0000000000000000
sequential	3fe0000000000000	bfe0000000000000	0000000000000000
and	3fe0000000000000	bfe0000000000000	bfe0000000000000
or	3fe0000000000000	bfe0000000000000	3fe0000000000000
parallel	3fe0000000000000	bfd3333333333333	3fd2492492492493
sequential	3fe0000000000000	bfd3333333333333	0000000000000000
and	3fe0000000000000	bfd3333333333333	bfd3333333333333
or	3fe0000000000000	bfd3333333333333	3fe0000000000000
parallel	3fe0000000000000	bf847ae147ae147b	3fdfad40a57eb503
sequential	3fe0000000000000	bf847ae147ae147b	0000000000000000
and	3fe0000000000000	bf847ae147ae147b	bf847ae147ae147b
or	3fe0000000000000	bf847ae147ae147b	3fe0000000000000
parallel	3fe0000000000000	0000000000000000	3fe0000000000000
sequential	3fe0000000000000	0000000000000000	0000000000000000
and	3fe0000000000000	0000000000000000	0000000000000000
or	3fe0000000000000	0000000000000000	3fe0000000000000
parallel	3fe0000000000000	3f847ae147ae147b	3fe028f5c28f5c29
sequential	3fe0000000000000	3f847ae147ae147b	3f747ae147ae147b
and	3fe0000000000000	3f847ae147ae147b	3f847ae147ae147b
or	3fe0000000000000	3f847ae147ae147b	3fe0000000000000
parallel	3fe0000000000000	3fd3333333333333	3fe4cccccccccccd
sequential	3fe0000000000000	3fd3333333333333	3fc3333333333333
and	3fe0000000000000	3fd3333333333333	3fd3333333333333
or	3fe0000000000000	3fd3333333333333	3fe0000000000000
parallel	3fe0000000000000	3fe0000000000000	3fe8000000000000
sequential	3fe0000000000000	3fe0000000000000	3fd0000000000000
and	3fe0000000000000	3fe0000000000000	3fe0000000000000
or	3fe0000000000000	3fe0000000000000	3fe0000000000000
parallel	3fe0000000000000	3fe947ae147ae148	3feca3d70a3d70a4
sequential	3fe0000000000000	3fe947ae147ae148	3fd947ae147ae148
and	3fe0000000000000	3fe947ae147ae148	3fe0000000000000
or	3fe0000000000000	3fe947ae147ae148	3fe947ae147ae148
parallel	3fe0000000000000	3fed70a3d70a3d71	3feeb851eb851eb8
sequential	3fe0000000000000	3fed70a3d70a3d71	3fdd70a3d70a3d71
and	3fe0000000000000	3fed70a3d70a3d71	3fe0000000000000
or	3fe0000000000000	3fed70a3d70a3d71	3fed70a3d70a3d71
parallel	3fe0000000000000	3ff0000000000000	3ff0000000000000
sequential	3fe0000000000000	3ff0000000000000	3fe0000000000000
and	3fe0000000000000	3ff0000000000000	3fe0000000000000
or	3fe0000000000000	3ff0000000000000	3ff0000000000000
parallel	3fe947ae147ae148	bff0000000000000	bff0000000000000
sequential	3fe947ae147ae148	bff0000000000000	0000000000000000
and	3fe947ae147ae148	bff0000000000000	bff0000000000000
or	3fe947ae147ae148	bff0000000000000	3fe947ae147ae148
parallel	3fe947ae147ae148	bfed70a3d70a3d71	bfe3cf3cf3cf3cf5
sequential	3fe947ae147ae148	bfed70a3d70a3d71	0000000000000000
and	3fe947ae147ae148	bfed70a3d70a3d71	bfed70a3d70a3d71
or	3fe947ae147ae148	bfed70a3d70a3d71	3fe947ae147ae148
parallel	3fe947ae147ae148	bfe8000000000000	3fc47ae147ae1480
sequential	3fe947ae147ae148	bfe8000000000000	0000000000000000
and	3fe947ae147ae148	bfe8000000000000	bfe8000000000000
or	3fe947ae147ae148	bfe8000000000000	3fe947ae147ae148
parallel	3fe947ae147ae148	bfe0000000000000	3fe28f5c28f5c290
sequential	3fe947ae147ae148	bfe0000000000000	0000000000000000
and	3fe947ae147ae148	bfe0000000000000	bfe0000000000000
or	3fe947ae147ae148	bfe0000000000000	3fe947ae147ae148
parallel	3fe947ae147ae148	bfd3333333333333	3fe6666666666667
sequential	3fe947ae147ae148	bfd3333333333333	0000000000000000
and	3fe947ae147ae148	bfd3333333333333	bfd3333333333333
or	3fe947ae147ae148	bfd3333333333333	3fe947ae147ae148
parallel	3fe947ae147ae148	bf847ae147ae147b	3fe9364d9364d937
sequential	3fe947ae147ae148	bf847ae147ae147b	0000000000000000
and	3fe947ae147ae148	bf847ae147ae147b	bf847ae147ae147b
or	3fe947ae147ae148	bf847ae147ae147b	3fe947ae147ae148
parallel	3fe947ae147ae148	0000000000000000	3fe947ae147ae148
sequential	3fe947ae147ae148	0000000000000000	0000000000000000
and	3fe947ae147ae148	0000000000000000	0000000000000000
or	3fe947ae147ae148	0000000000000000	3fe947ae147ae148
parallel	3fe947ae147ae148	3f847ae147ae147b	3fe958e219652bd4
sequential	3fe947ae147ae148	3f847ae147ae147b	3f802de00d1b7176
and	3fe947ae147ae148	3f847ae147ae147b	3f847ae147ae147b
or	3fe947ae147ae148	3f847ae147ae147b	3fe947ae147ae148
parallel	3fe947ae147ae148	3fd3333333333333	3feb4bc6a7ef9db2
sequential	3fe947ae147ae148	3fd3333333333333	3fce5604189374bc
and	3fe947ae147ae148	3fd3333333333333	3fd3333333333333
or	3fe947ae147ae148	3fd3333333333333	3fe947ae147ae148
parallel	3fe947ae147ae148	3fe0000000000000	3feca3d70a3d70a4
sequential	3fe947ae147ae148	3fe0000000000000	3fd947ae147ae148
and	3fe947ae147ae148	3fe0000000000000	3fe0000000000000
or	3fe947ae147ae148	3fe0000000000000	3fe947ae147ae148
parallel	3fe947ae147ae148	3fe947ae147ae148	3fee96bb98c7e282
sequential	3fe947ae147ae148	3fe947ae147ae148	3fe3f8a0902de00e
and	3fe947ae147ae148	3fe947ae147ae148	3fe947ae147ae148
or	3fe947ae147ae148	3fe947ae147ae148	3fe947ae147ae148
parallel	3fe947ae147ae148	3fed70a3d70a3d71	3fef765fd8adaba0
sequential	3fe947ae147ae148	3fed70a3d70a3d71	3fe741f212d7731a
and	3fe947ae147ae148	3fed70a3d70a3d71	3fe947ae147ae148
or	3fe947ae147ae148	3fed70a3d70a3d71	3fed70a3d70a3d71
parallel	3fe947ae147ae148	3ff0000000000000	3ff0000000000000
sequential	3fe947ae147ae148	3ff0000000000000	3fe947ae147ae148
and	3fe947ae147ae148	3ff0000000000000	3fe947ae147ae148
or	3fe947ae147ae148	3ff0000000000000	3ff0000000000000
parallel	3fed70a3d70a3d71	bff0000000000000	bff0000000000000
sequential	3fed70a3d70a3d71	bff0000000000000	0000000000000000
and	3fed70a3d70a3d71	bff0000000000000	bff0000000000000
or	3fed70a3d70a3d71	bff0000000000000	3fed70a3d70a3d71
parallel	3fed70a3d70a3d71	bfed70a3d70a3d71	0000000000000000
sequential	3fed70a3d70a3d71	bfed70a3d70a3d71	0000000000000000
and	3fed70a3d70a3d71	bfed70a3d70a3d71	bfed70a3d70a3d71
or	3fed70a3d70a3d71	bfed70a3d70a3d71	3fed70a3d70a3d71
parallel	3fed70a3d70a3d71	bfe8000000000000	3fe5c28f5c28f5c4
sequential	3fed70a3d70a3d71	bfe8000000000000	0000000000000000
and	3fed70a3d70a3d71	bfe8000000000000	bfe8000000000000
or	3fed70a3d70a3d71	bfe8000000000000	3fed70a3d70a3d71
parallel	3fed70a3d70a3d71	bfe0000000000000	3feae147ae147ae2
sequential	3fed70a3d70a3d71	bfe0000000000000	0000000000000000
and	3fed70a3d70a3d71	bfe0000000000000	bfe0000000000000
or	3fed70a3d70a3d71	bfe0000000000000	3fed70a3d70a3d71
parallel	3fed70a3d70a3d71	bfd3333333333333	3fec57c57c57c57e
sequential	3fed70a3d70a3d71	bfd3333333333333	0000000000000000
and	3fed70a3d70a3d71	bfd3333333333333	bfd3333333333333
or	3fed70a3d70a3d71	bfd3333333333333	3fed70a3d70a3d71
parallel	3fed70a3d70a3d71	bf847ae147ae147b	3fed6a052bf5a815
sequential	3fed70a3d70a3d71	bf847ae147ae147b	0000000000000000
and	3fed70a3d70a3d71	bf847ae147ae147b	bf847ae147ae147b
or	3fed70a3d70a3d71	bf847ae147ae147b	3fed70a3d70a3d71
parallel	3fed70a3d70a3d71	0000000000000000	3fed70a3d70a3d71
sequential	3fed70a3d70a3d71	0000000000000000	0000000000000000
and	3fed70a3d70a3d71	0000000000000000	0000000000000000
or	3fed70a3d70a3d71	0000000000000000	3fed70a3d70a3d71
parallel	3fed70a3d70a3d71	3f847ae147ae147b	3fed77318fc50482
sequential	3fed70a3d70a3d71	3f847ae147ae147b	3f82d77318fc5048
and	3fed70a3d70a3d71	3f847ae147ae147b	3f847ae147ae147b
or	3fed70a3d70a3d71	3f847ae147ae147b	3fed70a3d70a3d71
parallel	3fed70a3d70a3d71	3fd3333333333333	3fee353f7ced9169
sequential	3fed70a3d70a3d71	3fd3333333333333	3fd1a9fbe76c8b44
and	3fed70a3d70a3d71	3fd3333333333333	3fd3333333333333
or	3fed70a3d70a3d71	3fd3333333333333	3fed70a3d70a3d71
parallel	3fed70a3d70a3d71	3fe0000000000000	3feeb851eb851eb8
sequential	3fed70a3d70a3d71	3fe0000000000000	3fdd70a3d70a3d71
and	3fed70a3d70a3d71	3fe0000000000000	3fe0000000000000
or	3fed70a3d70a3d71	3fe0000000000000	3fed70a3d70a3d71
parallel	3fed70a3d70a3d71	3fe947ae147ae148	3fef765fd8adab9f
sequential	3fed70a3d70a3d71	3fe947ae147ae148	3fe741f212d7731a
and	3fed70a3d70a3d71	3fe947ae147ae148	3fe947ae147ae148
or	3fed70a3d70a3d71	3fe947ae147ae148	3fed70a3d70a3d71
parallel	3fed70a3d70a3d71	3fed70a3d70a3d71	3fefcb923a29c77a
sequential	3fed70a3d70a3d71	3fed70a3d70a3d71	3feb15b573eab368
and	3fed70a3d70a3d71	3fed70a3d70a3d71	3fed70a3d70a3d71
or	3fed70a3d70a3d71	3fed70a3d70a3d71	3fed70a3d70a3d71
parallel	3fed70a3d70a3d71	3ff0000000000000	3ff0000000000000
sequential	3fed70a3d70a3d71	3ff0000000000000	3fed70a3d70a3d71
and	3fed70a3d70a3d71	3ff0000000000000	3fed70a3d70a3d71
or	3fed70a3d70a3d71	3ff0000000000000	3ff0000000000000
parallel	3ff0000000000000	bff0000000000000	0000000000000000
sequential	3ff0000000000000	bff0000000000000	0000000000000000
and	3ff0000000000000	bff0000000000000	bff0000000000000
or	3ff0000000000000	bff0000000000000	3ff0000000000000
parallel	3ff0000000000000	bfed70a3d70a3d71	3ff0000000000000
sequential	3ff0000000000000	bfed70a3d70a3d71	0000000000000000
and	3ff0000000000000	bfed70a3d70a3d71	bfed70a3d70a3d71
or	3ff0000000000000	bfed70a3d70a3d71	3ff0000000000000
parallel	3ff0000000000000	bfe8000000000000	3ff0000000000000
sequential	3ff0000000000000	bfe8000000000000	0000000000000000
and	3ff0000000000000	bfe8000000000000	bfe8000000000000
or	3ff0000000000000	bfe8000000000000	3ff0000000000000
parallel	3ff0000000000000	bfe0000000000000	3ff0000000000000
sequential	3ff0000000000000	bfe0000000000000	0000000000000000
and	3ff0000000000000	bfe0000000000000	bfe0000000000000
or	3ff0000000000000	bfe0000000000000	3ff0000000000000
parallel	3ff0000000000000	bfd3333333333333	3ff0000000000000
sequential	3ff0000000000000	bfd3333333333333	0000000000000000
and	3ff0000000000000	bfd3333333333333	bfd3333333333333
or	3ff0000000000000	bfd3333333333333	3ff0000000000000
parallel	3ff0000000000000	bf847ae147ae147b	3ff0000000000000
sequential	3ff0000000000000	bf847ae147ae147b	0000000000000000
and	3ff0000000000000	bf847ae147ae147b	bf847ae147ae147b
or	3ff0000000000000	bf847ae147ae147b	3ff0000000000000
parallel	3ff0000000000000	0000000000000000	3ff0000000000000
sequential	3ff0000000000000	0000000000000000	0000000000000000
and	3ff0000000000000	0000000000000000	0000000000000000
or	3ff0000000000000	0000000000000000	3ff0000000000000
parallel	3ff0000000000000	3f847ae147ae147b	3ff0000000000000
sequential	3ff0000000000000	3f847ae147ae147b	3f847ae147ae147b
and	3ff0000000000000	3f847ae147ae147b	3f847ae147ae147b
or	3ff0000000000000	3f847ae147ae147b	3ff0000000000000
parallel	3ff0000000000000	3fd3333333333333	3ff0000000000000
sequential	3ff0000000000000	3fd3333333333333	3fd3333333333333
and	3ff0000000000000	3fd3333333333333	3fd3333333333333
or	3ff0000000000000	3fd3333333333333	3ff0000000000000
parallel	3ff0000000000000	3fe0000000000000	3ff0000000000000
sequential	3ff0000000000000	3fe0000000000000	3fe0000000000000
and	3ff0000000000000	3fe0000000000000	3fe0000000000000
or	3ff0000000000000	3fe0000000000000	3ff0000000000000
parallel	3ff0000000000000	3fe947ae147ae148	3ff0000000000000
sequential	3ff0000000000000	3fe947ae147ae148	3fe947ae147ae148
and	3ff0000000000000	3fe947ae147ae148	3fe947ae147ae148
or	3ff0000000000000	3fe947ae147ae148	3ff0000000000000
parallel	3ff0000000000000	3fed70a3d70a3d71	3ff0000000000000
sequential	3ff0000000000000	3fed70a3d70a3d71	3fed70a3d70a3d71
and	3ff0000000000000	3fed70a3d70a3d71	3fed70a3d70a3d71
or	3ff0000000000000	3fed70a3d70a3d71	3ff0000000000000
parallel	3ff0000000000000	3ff0000000000000	3ff0000000000000
sequential	3ff0000000000000	3ff0000000000000	3ff0000000000000
and	3ff0000000000000	3ff0000000000000	3ff0000000000000
or	3ff0000000000000	3ff0000000000000	3ff0000000000000
mb_md	3fe999999999999a	3f847ae147ae147b	3fe947ae147ae148
mb_md	3fd3333333333333	0000000000000000	3fd3333333333333
mb_md	3fe3333333333333	3fb999999999999a	3fe0000000000000
mb_md	0000000000000000	3ff0000000000000	bff0000000000000
